,Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
231,JAGUAR F-Type R Coupe,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
232,JAGUAR F-Type SVR Convertible GEN2,5.0,Gasoline,16.0,24.0,18.0,3,6.80224,10.20336,7.65252
233,JAGUAR F-Type SVR Coupe GEN2,5.0,Gasoline,16.0,24.0,18.0,3,6.80224,10.20336,7.65252
234,JAGUAR XE,5.0,Gasoline,16.0,22.0,18.0,3,6.80224,9.35308,7.65252
235,JAGUAR XJ,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
236,JAGUAR XJL,5.0,Gasoline,15.0,23.0,18.0,3,6.3771,9.778220000000001,7.65252
237,KIA Cadenza,3.3,Gasoline,20.0,27.0,23.0,5,8.5028,11.47878,9.778220000000001
238,KIA K900,3.3,Gasoline,18.0,25.0,21.0,4,7.65252,10.6285,8.92794
239,KIA Optima Hybrid,2.0,Gasoline,39.0,45.0,41.0,9,16.580460000000002,19.1313,17.43074
240,KIA Rio,1.6,Gasoline,29.0,37.0,32.0,7,12.32906,15.73018,13.60448
241,KIA Rio,1.6,Gasoline,28.0,37.0,32.0,7,11.903920000000001,15.73018,13.60448
242,KIA Soul,1.6,Gasoline,26.0,31.0,28.0,6,11.05364,13.17934,11.903920000000001
243,KIA Soul,1.6,Gasoline,24.0,30.0,27.0,6,10.20336,12.7542,11.47878
244,KIA Soul,1.6,Gasoline,26.0,31.0,28.0,6,11.05364,13.17934,11.903920000000001
245,KIA Sportage,2.0,Gasoline,21.0,26.0,23.0,5,8.92794,11.05364,9.778220000000001
246,KIA Sportage,2.0,Gasoline,20.0,23.0,21.0,4,8.5028,9.778220000000001,8.92794
247,KIA Stinger,2.0,Gasoline,22.0,29.0,25.0,5,9.35308,12.32906,10.6285
248,KIA Stinger,2.0,Gasoline,21.0,29.0,24.0,5,8.92794,12.32906,10.20336
249,KIA Stinger,3.3,Gasoline,17.0,25.0,20.0,4,7.22738,10.6285,8.5028
250,KIA Stinger,3.3,Gasoline,17.0,25.0,20.0,4,7.22738,10.6285,8.5028
251,LAMBORGHINI Urus,4.0,Gasoline,12.0,17.0,14.0,1,5.10168,7.22738,5.951960000000001
252,LAND ROVER Range Rover,5.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
253,LAND ROVER Range Rover LWB,5.0,Gasoline,16.0,21.0,18.0,3,6.80224,8.92794,7.65252
254,LAND ROVER Range Rover LWB SVA,5.0,Gasoline,13.0,19.0,15.0,2,5.52682,8.07766,6.3771
255,LAND ROVER Range Rover SV,5.0,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
256,LAND ROVER Range Rover SVA,5.0,Gasoline,14.0,19.0,16.0,2,5.951960000000001,8.07766,6.80224
257,LAND ROVER Range Rover Sport,5.0,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
258,LAND ROVER Range Rover Sport SVR,5.0,Gasoline,15.0,20.0,16.0,2,6.3771,8.5028,6.80224
259,LEXUS GS 300,2.0,Gasoline,22.0,32.0,26.0,5,9.35308,13.60448,11.05364
260,LEXUS GS 300 F Sport,2.0,Gasoline,21.0,30.0,24.0,5,8.92794,12.7542,10.20336
261,LEXUS GX 460,4.6,Gasoline,15.0,18.0,16.0,2,6.3771,7.65252,6.80224
262,LEXUS LS 500,3.4,Gasoline,19.0,30.0,23.0,5,8.07766,12.7542,9.778220000000001
263,LEXUS LS 500,3.4,Gasoline,18.0,27.0,21.0,4,7.65252,11.47878,8.92794
